,Index,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Origin Channel,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit
0,27,CA-2019-121755,2019-01-16,Second Class,EH-13945,Eric Hoffmann,Email,Los Angeles,California,90049.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003027,90.57,3,0.0,11.7741
1,45,CA-2019-118255,2019-03-11,First Class,ON-18715,Odella Nelson,Sales,Eagan,Minnesota,55122.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,45.98,2,0.0,19.7714
2,48,CA-2019-169194,2019-06-20,Standard Class,LH-16900,Lena Hernandez,Email,Dover,Delaware,19901.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,45.0,3,0.0,4.95
3,60,CA-2019-111682,2019-06-17,First Class,TB-21055,Ted Butterfield,Email,Troy,New York,12180.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,30.0,2,0.0,3.3
4,63,CA-2018-135545,2018-11-24,Standard Class,KM-16720,Kunst Miller,Email,Los Angeles,California,90004.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004633,13.98,2,0.0,6.1512
5,87,CA-2020-155558,2020-10-26,Standard Class,PG-18895,Paul Gonzalez,Email,Rochester,Minnesota,55901.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,19.99,1,0.0,6.7966
6,101,CA-2019-158568,2019-08-29,Standard Class,RB-19465,Rick Bensley,Facebook,Chicago,Illinois,60610.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001767,95.976,3,0.2,-10.7973
7,104,US-2018-156867,2018-11-13,Standard Class,LC-16870,Lena Cacioppo,Email,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,238.896,6,0.2,-26.8758
8,107,CA-2020-119004,2020-11-23,Standard Class,JM-15250,Janet Martin,Email,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003499,74.112,8,0.2,17.6016
9,110,CA-2018-129476,2018-10-15,Standard Class,PA-19060,Pete Armstrong,Facebook,Orland Park,Illinois,60462.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000844,339.96,5,0.2,67.992
10,162,CA-2018-119697,2018-12-28,Second Class,EM-13960,Eric Murdock,Email,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,54.384,2,0.2,1.3596
11,182,CA-2017-166191,2017-12-05,Second Class,DK-13150,David Kendrick,Sales,Decatur,Illinois,62521.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.744,7,0.2,76.6395
12,185,CA-2017-158274,2017-11-19,Second Class,RM-19675,Robert Marley,Facebook,Monroe,Louisiana,71203.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002345,29.0,2,0.0,7.25
13,187,CA-2017-123260,2017-08-26,Standard Class,FM-14290,Frank Merwin,Facebook,Los Angeles,California,90032.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002323,176.8,8,0.0,22.984
14,212,CA-2018-101007,2018-02-09,Second Class,MS-17980,Michael Stewart,Sales,Dallas,Texas,75220.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,20.8,2,0.2,6.5
15,217,CA-2018-146262,2018-01-02,Standard Class,VW-21775,Victoria Wilson,Sales,Medina,Ohio,44256.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000109,89.584,2,0.2,4.4792
16,236,US-2020-100930,2020-04-07,Standard Class,CS-12400,Christopher Schild,Facebook,Tampa,Florida,33614.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003832,617.976,3,0.2,-7.7247
17,252,CA-2019-145625,2019-09-11,Standard Class,KC-16540,Kelly Collister,Email,San Diego,California,92037.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,3347.37,13,0.0,636.0003
18,259,CA-2020-163139,2020-12-01,Second Class,CC-12670,Craig Carreira,Email,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,20.37,3,0.0,6.9258
19,266,CA-2018-155040,2018-11-10,Standard Class,AH-10210,Alan Hwang,Email,Brentwood,California,94513.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004469,79.9,2,0.0,35.156
20,272,CA-2018-155334,2018-07-30,First Class,HA-14920,Helen Andreada,Email,San Francisco,California,94109.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003628,209.93,7,0.0,92.3692
21,285,CA-2018-130883,2018-09-26,Standard Class,TB-21520,Tracy Blumstein,Email,Portland,Oregon,97206.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001956,239.8,5,0.2,47.96
22,292,CA-2019-110772,2019-11-20,Second Class,NZ-18565,Nick Zandusky,Facebook,Columbus,Ohio,43229.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002001,255.984,2,0.2,54.3966
23,321,CA-2017-164973,2017-11-04,Standard Class,NM-18445,Nathan Mautz,Facebook,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000892,360.0,4,0.0,129.6
24,325,CA-2019-162138,2019-04-23,Standard Class,GK-14620,Grace Kelly,Sales,Hesperia,California,92345.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001908,99.99,1,0.0,34.9965
25,350,CA-2019-129714,2019-09-01,First Class,AB-10060,Adam Bellavance,Facebook,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,6.79,1,0.0,2.3086
26,374,US-2017-119137,2017-07-23,Standard Class,AG-10900,Arthur Gainer,Email,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,1023.936,8,0.2,179.1888
27,376,US-2017-119137,2017-07-23,Standard Class,AG-10900,Arthur Gainer,Email,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002076,479.04,10,0.2,-29.94
28,384,CA-2018-125395,2018-06-26,Second Class,LA-16780,Laura Armstrong,Sales,Taylor,Michigan,48180.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004708,41.9,2,0.0,8.799
29,386,US-2018-168935,2018-11-27,Standard Class,DO-13435,Denny Ordway,Email,Pembroke Pines,Florida,33024.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002335,83.976,3,0.2,-1.0497
